"用例编号","模块","测试对象","测试类型","前置条件","操作步骤","预期结果","关联错误码","优先级"
"PRACTICE-011","学习与练习","下载状态","正常流转","下载失败任务","重新发起下载","状态 failed -> pending -> downloading","","P2"
"MESSAGE-001","消息与客服","消息发送状态","正常流转","新建消息","立即发送成功","状态 draft -> sent","","P1"
"MESSAGE-002","消息与客服","消息发送状态","正常流转","新建消息","设置定时发送并等待执行","状态 draft -> scheduled -> sent","","P1"
"MESSAGE-003","消息与客服","消息发送状态","异常场景","新建消息","渠道发送失败","状态 draft -> failed","17003","P1"
"MESSAGE-004","消息与客服","消息已读状态","正常流转","消息为 unread","用户打开消息","状态 unread -> read","","P1"
"MESSAGE-005","消息与客服","消息已读状态","重复操作","消息已 read","再次调用已读接口","幂等成功或返回已读提示","17002","P1"
"MESSAGE-006","消息与客服","工单状态","正常流转","用户新发起咨询","客服首次回复","状态 waiting -> processing","","P1"
"MESSAGE-007","消息与客服","工单状态","正常流转","工单处理中","客服标记解决","状态 processing -> resolved","","P1"
"MESSAGE-008","消息与客服","工单状态","正常流转","工单为 resolved","用户继续追问","状态 resolved -> processing","","P1"
"MESSAGE-009","消息与客服","工单状态","正常流转","工单为 resolved","用户确认关闭","状态 resolved -> closed","","P1"
"MESSAGE-010","消息与客服","工单状态","非法流转","工单为 closed","客服再次回复","拒绝回复","17006 或 17007","P1"
"RISK-001","举报与风控","举报状态","正常流转","用户提交举报","管理员开始处理","状态 pending -> processing","","P1"
"RISK-002","举报与风控","举报状态","正常流转","举报处理中","管理员处理完成","状态 processing -> resolved","","P1"
"RISK-003","举报与风控","举报状态","正常流转","举报处理中","管理员驳回举报","状态 processing -> rejected","","P1"
"RISK-004","举报与风控","举报状态","正常流转","举报已处理且支持复审","发起复审","状态 resolved -> processing","","P1"
"RISK-005","举报与风控","举报状态","非法流转","举报已 resolved 且无复审权限","再次处理","拒绝重复处理","19003","P1"
"RISK-006","举报与风控","敏感词状态","正常流转","新建敏感词","启用敏感词","状态为 enabled","","P1"
"RISK-007","举报与风控","敏感词状态","正常流转","敏感词为 enabled","停用敏感词","状态 enabled -> disabled","","P1"
"RISK-008","举报与风控","敏感词规则","异常场景","wordType=replace","不传 replaceText 保存","拒绝保存","19005","P1"
